model,accuracy,precision,recall,f1
Ensemble (XGBoost: stylometry + RoBERTa),0.995,0.992,0.998,0.995
Random Forest,0.984,0.9859437751004017,0.982,0.9839679358717436
Logistic Regression,0.98,0.9761904761904762,0.984,0.9800796812749004
Linear SVM,0.979,0.9742574257425742,0.984,0.9791044776119404
Random Forest (top-3 features),0.965,0.9603960396039604,0.97,0.965174129353234
RoBERTa (fine-tuned),0.956,0.975,0.936,0.9551
Length-only (word_count),0.586,0.5776173285198556,0.64,0.6072106261859582
